comment,label
hỗ trợ là 1 chuyện xài được không là 1 chuyện khác :v,neutral
Cho lên làm gì chậm máy cũng vậy! 1 thanh niên dùng thiên hà ế ẩm cho biết!,negative
Mấy ông nói đến cả iphone 6s còn được hộ trợ sau bao nhiu năm thì đi mua iphone 6s về mà xài. Nâng cấp làm gì?,neutral
6s đến h vẫn hỗ trợ lên ios14 nhìn qua a sam s8 thì bị bỏ 1 góc.đúng haizz,negative
"Lên và lết mới đau, thà giữ nguyên cho mượt như ngày đầu.",negative
Iphone 6s không biết nâng cấp lên xong dùng có được không? Vì máy sẽ bị chậm.,negative
"Đã lên bản 14 beta (6s) : nhiều cái mới , mượt , không hao pin ... GOOD !",positive
"6s lên bình thường, chỉ có điều file hệ thống quá lớn, máy nào bộ nhớ lớn thì hãy lên.",neutral
Chơi dại.,negative
Những người chưa sử dụng qua android thời nay thì không biết đc iphone đã tụt hậu ntn so với andrroid,negative
Apple giờ thay pin cho Iphone cũng giàu cần gì phải bán Iphone chi nhiều nữa ).,neutral
"Khi iPhone ngày càng bão hoà về ý tưởng và thiết kế thì số lượng sẽ dần giảm, qui luật tất yếu!",negative
"Đúng là rất thích dùng đồ Apple mà vấp không có tiền, mua mỗi IPX.",positive
Đến một lúc nào đó google không đặt thanh tìm kiếm trên safari nữa thì apple cũng phải đặt thôi,neutral
Chưa có điều kiện để... dùng thử các sản phẩm và dịch vụ của A.,neutral
"Sự thông minh của ios đang rút ngắn khoảng cách với androi, thậm chí là ngang bằng. Đó là lý do làm giảm hứng thú người dùng với dòng sản phẩm này.",negative
Một công ty sản xuất chip hàng đầu thế giới với lịch sử lâu đời mà không lại được với chip cây nhà lá vườn của Apple,negative
Ngày xưa lúc apple chưa đến với intel thì người dùng cũng chưa đến với apple. Bây giờ apple chia tay intel thì người dùng cũng sẽ chia tay apple thôi.,negative
"M thấy PC giờ toàn xài chíp ADM, intel đấu không lại.",negative
"Cố gắng lên Apple, bạn đang tiệm cận Android 10 rồi !",positive
"Toàn là các tính năng mà Android đã có. Mong là IOS 14 đừng gây nên cơn địa chấn lỗi chồng lỗi, update thêm lỗi như IOS13.",negative
1 phiên bản cập nhật Android 6.0 của Apple.,neutral
Mình lót dép đợi Ifan vào bảo Android học theo Apple.,neutral
Bao giờ mới có trợ lý tiếng Việt!,negative
Cái nào hay thì cứ sao thôi chớ có gì đầu. Như vậy mới lợi cho người tiêu dùng,positive
"Vẫn quan trọng là đẳng cấp, chứ sao chép hay học hỏi để phát triển thì là càng tốt chứ sao. Lêu lêu mấy bạn Android",positive
"ios càng ngày càng giống android, chỉ khác là không giật lag như android. Cũng khá thú vị.",positive
"Họ không học hay ăn cắp ai họ làm tốt cái có sẵn(của người ta) làm của mình và hiển nhiên họ nó là do họ làm ra, ban thấy đấy tôi làm tốt hơn bản gốc ấy chứ.",positive
tôi vẫn dùng 12.4.,neutral
"""Giống Android"", sao câu này nghe cay đến thế",negative
Mặt trước chắc vẫn là cái to thỏ to đùng ),negative
Dù có chỉnh tới chỉnh lui. Vẫn là tai thỏ vẫn là tổ ong.,negative
Quỹ đạo sáng tạo của Apple có hình vòng tròn.,negative
"Phải thiết kế phẳng, không camera lồi, thì mới đẹp. Chứ mình cái khung viền, chưa ăn thua!",negative
Chắc chắn sẽ không phải thiết kế này,neutral
"Cái này kỳ à, chưa gì cứ loi nhoi.",negative
Dùng USB type C là hợp lý.,positive
"Quý III/2019 lên kệ đúng lịch trình còn gì nữa, 2020 do ảnh hưởng Covid nên mới chậm chứ 2019 đã xong rồi còn ji đâu mà dự đoán",neutral
"Haizz, lại tốn tiền rồi. Cứ mỗi lần Apple ra đời iphone mới, lại phải đổi đt. Cuôc sống có niềm vui được thì cứ hưởng. IP12 cứ mua xài thôi, dù nhiều bữa phải ăn mì gói.",negative
Iphone đã cạn thiết kế ! Dùng iphone x 2 năm rồi không lên nữa,negative
Rượu cũ bình mới thôi. Chuẩn bị tiền cống cho apple nhé.,negative
Usb type C tôi không thích. Vì trước đây có dùng androi cổng type c hay bị lỏng chân sạc.,negative
"Thật còn đang ế chỏng kia, bầy đặt lộ gì, chưa ra thì cũng đoán được đa phần rồi.",negative
mong rằng không còn tai thỏ,negative
Theo như những năm gần đây thì những thông tin hình ảnh rò rỉ iphone mới hầu như là chính xác ),neutral
"Apple hết ý tưởng rồi, báo hiệu ngày ra đi sắp tới",negative
Đúng là Táo đỉnh cao thật. Đi trước chính mình cả gần chục năm. Ghê thật,positive
Chạy đua cam làm chi để vừa lòi vừa xấu...,negative
Có 2 camera như ip11 ko,neutral
Cắn lưỡi. Tôi vừa mua se 2020.,neutral
Đơn giản là 1 phiên bản nâng cấp chip của XR không có gì đặc biệt.,neutral
Nhỏ hơn nhưng có màn hình lớn hơn. Màn hình OLED nét và đẹp.,positive
Tuyệt. Nho nhỏ mà mạnh . Sẽ mua 1 em,positive
